                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                0.61312,                0.32658,                 1.0972,                0.97258,                0.97658,                0.98877,                0.86839,                0.63008,                0.26036,                 1.1541,               0.002377,               0.002377,               0.002377
                    156,                0.61239,                0.32784,                 1.0979,                 0.9726,                0.97663,                0.98882,                0.86845,                0.63007,                0.26012,                 1.1542,              0.0023275,              0.0023275,              0.0023275
                    157,                0.60927,                 0.3258,                 1.0926,                0.97264,                 0.9768,                0.98879,                0.86842,                0.62999,                0.26026,                 1.1541,               0.002278,               0.002278,               0.002278
                    158,                0.60486,                 0.3231,                 1.0906,                0.97264,                0.97687,                0.98882,                0.86886,                0.62996,                 0.2601,                 1.1544,              0.0022285,              0.0022285,              0.0022285
                    159,                0.60148,                0.32079,                 1.0921,                0.97266,                0.97702,                0.98877,                0.86873,                0.62995,                0.26034,                 1.1545,               0.002179,               0.002179,               0.002179
                    160,                0.60432,                0.32241,                  1.094,                0.97139,                0.97834,                0.98877,                0.86879,                0.62998,                0.26022,                 1.1544,              0.0021295,              0.0021295,              0.0021295
                    161,                0.60415,                0.31967,                 1.0913,                0.97071,                0.97879,                0.98874,                0.86856,                0.63008,                0.26027,                 1.1545,                0.00208,                0.00208,                0.00208
                    162,                0.59908,                0.32047,                 1.0882,                0.97087,                0.97875,                0.98876,                0.86829,                0.63039,                0.26032,                 1.1548,              0.0020305,              0.0020305,              0.0020305
                    163,                0.60308,                0.32023,                 1.0942,                0.97077,                0.97886,                 0.9888,                0.86854,                0.63037,                0.26016,                 1.1551,               0.001981,               0.001981,               0.001981
                    164,                0.59994,                0.31739,                 1.0906,                0.97068,                0.97894,                0.98879,                0.86826,                0.63051,                0.25984,                 1.1552,              0.0019315,              0.0019315,              0.0019315
                    165,                0.60006,                0.31676,                 1.0859,                0.97073,                0.97892,                0.98878,                0.86872,                0.63058,                0.25996,                 1.1553,               0.001882,               0.001882,               0.001882
                    166,                0.59486,                0.31499,                 1.0845,                0.97082,                0.97889,                0.98876,                0.86872,                0.63048,                0.26011,                 1.1553,              0.0018325,              0.0018325,              0.0018325
                    167,                0.59534,                0.31392,                  1.089,                0.97093,                0.97881,                0.98876,                0.86836,                 0.6305,                0.26014,                 1.1554,               0.001783,               0.001783,               0.001783
                    168,                0.59446,                0.31483,                 1.0843,                0.97106,                0.97867,                0.98876,                0.86823,                0.63049,                0.26007,                 1.1555,              0.0017335,              0.0017335,              0.0017335
                    169,                0.58968,                0.31057,                 1.0815,                0.97107,                0.97868,                 0.9888,                0.86861,                0.63066,                0.26006,                 1.1557,               0.001684,               0.001684,               0.001684
                    170,                0.59179,                0.31111,                 1.0814,                0.97109,                0.97865,                0.98872,                0.86837,                0.63079,                0.25994,                 1.1558,              0.0016345,              0.0016345,              0.0016345
                    171,                0.59119,                0.31536,                 1.0845,                0.97111,                0.97864,                0.98877,                0.86828,                0.63081,                0.25991,                 1.1559,               0.001585,               0.001585,               0.001585
                    172,                0.58761,                0.31153,                 1.0816,                0.97114,                0.97862,                0.98875,                0.86838,                0.63094,                0.26003,                  1.156,              0.0015355,              0.0015355,              0.0015355
                    173,                0.58016,                0.30721,                  1.077,                0.97116,                0.97856,                0.98879,                0.86804,                0.63095,                0.26004,                  1.156,               0.001486,               0.001486,               0.001486
                    174,                0.58228,                0.30638,                 1.0793,                0.97123,                0.97852,                0.98879,                0.86785,                0.63109,                0.25973,                 1.1562,              0.0014365,              0.0014365,              0.0014365
                    175,                 0.5788,                0.30589,                  1.078,                0.97125,                0.97843,                0.98855,                0.86785,                0.63139,                0.25967,                 1.1565,               0.001387,               0.001387,               0.001387
                    176,                0.57688,                0.30505,                 1.0786,                0.97134,                0.97841,                0.98854,                0.86806,                 0.6315,                0.25912,                 1.1568,              0.0013375,              0.0013375,              0.0013375
                    177,                 0.5782,                0.30366,                 1.0761,                0.97141,                0.97842,                0.98852,                0.86809,                0.63146,                0.25906,                 1.1569,               0.001288,               0.001288,               0.001288
                    178,                0.57626,                0.30372,                 1.0744,                0.97159,                0.97842,                 0.9885,                0.86811,                0.63156,                0.25901,                  1.157,              0.0012385,              0.0012385,              0.0012385
                    179,                0.57977,                0.30501,                 1.0761,                0.97156,                0.97853,                 0.9887,                0.86793,                0.63164,                0.25919,                 1.1572,               0.001189,               0.001189,               0.001189
                    180,                0.57255,                0.29979,                 1.0709,                0.97167,                0.97889,                0.98871,                0.86782,                0.63178,                0.25921,                 1.1575,              0.0011395,              0.0011395,              0.0011395
                    181,                0.56802,                0.29935,                  1.074,                0.97167,                0.97937,                0.98873,                0.86797,                0.63207,                0.25918,                 1.1578,                0.00109,                0.00109,                0.00109
                    182,                0.56902,                0.29855,                  1.072,                0.97164,                0.97968,                0.98874,                 0.8678,                0.63207,                0.25945,                 1.1579,              0.0010405,              0.0010405,              0.0010405
                    183,                0.56764,                 0.2996,                 1.0709,                0.97156,                0.97975,                0.98875,                0.86794,                0.63216,                0.26004,                 1.1581,               0.000991,               0.000991,               0.000991
                    184,                0.56678,                0.29891,                 1.0711,                0.97166,                0.97975,                0.98876,                0.86817,                0.63209,                0.26008,                 1.1582,              0.0009415,              0.0009415,              0.0009415
                    185,                0.56414,                0.29614,                 1.0714,                 0.9717,                 0.9798,                0.98876,                0.86847,                0.63246,                0.25994,                 1.1587,               0.000892,               0.000892,               0.000892
                    186,                0.55933,                 0.2945,                 1.0667,                 0.9718,                0.97982,                0.98874,                0.86799,                0.63267,                 0.2597,                  1.159,              0.0008425,              0.0008425,              0.0008425
                    187,                0.56206,                0.29709,                 1.0698,                0.97186,                0.97983,                0.98879,                0.86801,                0.63244,                0.25984,                 1.1589,               0.000793,               0.000793,               0.000793
                    188,                0.55865,                0.29378,                 1.0655,                0.97184,                0.98001,                0.98876,                0.86795,                0.63258,                0.25984,                 1.1593,              0.0007435,              0.0007435,              0.0007435
                    189,                0.55546,                0.29339,                 1.0628,                0.97159,                0.98001,                0.98875,                0.86791,                 0.6326,                0.25995,                 1.1595,               0.000694,               0.000694,               0.000694
                    190,                0.55575,                0.29091,                 1.0623,                 0.9716,                0.98001,                0.98878,                0.86812,                0.63284,                0.26027,                 1.1599,              0.0006445,              0.0006445,              0.0006445
                    191,                0.48663,                0.23299,                 1.0254,                 0.9711,                0.98005,                0.98876,                0.86848,                0.63285,                0.26054,                 1.1601,               0.000595,               0.000595,               0.000595
                    192,                0.48227,                0.22665,                 1.0219,                 0.9715,                 0.9803,                0.98878,                 0.8682,                0.63314,                0.26057,                 1.1606,              0.0005455,              0.0005455,              0.0005455
                    193,                0.47839,                  0.224,                 1.0149,                0.97169,                0.98015,                0.98879,                 0.8684,                0.63301,                0.26068,                 1.1606,               0.000496,               0.000496,               0.000496
                    194,                0.47448,                0.22257,                 1.0202,                0.97132,                0.98015,                0.98872,                0.86816,                0.63277,                0.26075,                 1.1605,              0.0004465,              0.0004465,              0.0004465
                    195,                0.47232,                0.22084,                 1.0144,                0.97127,                0.98016,                0.98872,                0.86819,                0.63286,                0.26086,                 1.1607,               0.000397,               0.000397,               0.000397
                    196,                0.46545,                0.21869,                 1.0116,                0.97127,                0.98016,                0.98871,                0.86836,                0.63294,                0.26101,                  1.161,              0.0003475,              0.0003475,              0.0003475
                    197,                0.46531,                 0.2182,                  1.008,                0.97126,                0.98016,                 0.9887,                0.86841,                 0.6332,                0.26115,                 1.1616,               0.000298,               0.000298,               0.000298
                    198,                0.47036,                0.21965,                  1.009,                0.97128,                0.98016,                0.98871,                0.86837,                0.63324,                0.26117,                 1.1618,              0.0002485,              0.0002485,              0.0002485
                    199,                0.46397,                0.21532,                 1.0045,                0.97134,                0.98031,                0.98871,                0.86831,                0.63315,                0.26143,                 1.1619,               0.000199,               0.000199,               0.000199
                    200,                0.45982,                0.21538,                 1.0058,                0.97139,                0.98034,                0.98875,                0.86827,                0.63327,                0.26153,                 1.1622,              0.0001495,              0.0001495,              0.0001495
