                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7761,                0.47951,                 1.1913,                0.95456,                0.97493,                0.98695,                 0.8483,                0.66871,                0.32438,                 1.1903,              0.0082675,              0.0082675,              0.0082675
                     37,                0.76922,                0.47185,                 1.1894,                0.96123,                0.97598,                0.98749,                0.84696,                0.66777,                0.31984,                 1.1939,               0.008218,               0.008218,               0.008218
                     38,                0.75821,                0.46838,                 1.1873,                 0.9598,                 0.9773,                0.98572,                0.84955,                0.66572,                  0.316,                 1.1901,              0.0081685,              0.0081685,              0.0081685
                     39,                0.76025,                0.46654,                 1.1864,                 0.9647,                0.97618,                0.98653,                 0.8461,                0.67102,                0.31969,                 1.1915,               0.008119,               0.008119,               0.008119
                     40,                0.76564,                0.47166,                  1.187,                0.95472,                0.97673,                0.98782,                0.84914,                0.65866,                0.32055,                 1.1784,              0.0080695,              0.0080695,              0.0080695
                     41,                0.76328,                0.46358,                 1.1846,                0.96179,                 0.9785,                  0.988,                0.84945,                0.66309,                0.31318,                  1.185,                0.00802,                0.00802,                0.00802
                     42,                0.75857,                0.45809,                 1.1847,                0.95828,                0.97316,                0.98594,                0.85031,                0.65782,                 0.3133,                 1.1779,              0.0079705,              0.0079705,              0.0079705
                     43,                0.75208,                0.45799,                 1.1828,                0.95719,                0.97659,                 0.9853,                0.85015,                0.65549,                0.31394,                 1.1749,               0.007921,               0.007921,               0.007921
                     44,                0.75532,                0.45374,                  1.182,                0.96476,                0.97669,                0.98761,                0.85295,                0.65898,                0.30905,                 1.1742,              0.0078715,              0.0078715,              0.0078715
                     45,                0.75137,                 0.4573,                 1.1809,                0.95589,                0.97739,                 0.9878,                0.85365,                 0.6565,                0.31187,                 1.1697,               0.007822,               0.007822,               0.007822
                     46,                0.76044,                0.45866,                 1.1852,                0.95566,                0.97881,                  0.989,                0.85411,                0.65613,                0.31043,                 1.1726,              0.0077725,              0.0077725,              0.0077725
                     47,                0.75331,                0.45427,                 1.1763,                0.95652,                0.97801,                0.98859,                0.85748,                0.64451,                0.30177,                 1.1668,               0.007723,               0.007723,               0.007723
                     48,                0.75171,                0.45435,                 1.1831,                0.96314,                0.97486,                 0.9871,                0.85661,                0.65053,                0.30355,                 1.1693,              0.0076735,              0.0076735,              0.0076735
                     49,                0.75404,                0.44526,                 1.1759,                0.96362,                0.97585,                0.98706,                0.85738,                0.64757,                0.30149,                 1.1652,               0.007624,               0.007624,               0.007624
                     50,                0.74243,                0.43855,                 1.1772,                0.96121,                0.97648,                0.98749,                0.85597,                0.65004,                0.30147,                 1.1712,              0.0075745,              0.0075745,              0.0075745
                     51,                0.74614,                0.44898,                 1.1814,                0.95521,                   0.98,                0.98844,                0.85632,                 0.6457,                0.30088,                 1.1625,               0.007525,               0.007525,               0.007525
                     52,                0.74571,                0.44724,                 1.1748,                0.95479,                0.98057,                0.98818,                 0.8545,                0.64945,                0.30134,                  1.166,              0.0074755,              0.0074755,              0.0074755
                     53,                0.74197,                0.44442,                 1.1739,                0.95965,                0.97676,                0.98825,                0.85763,                0.64923,                0.29899,                 1.1667,               0.007426,               0.007426,               0.007426
                     54,                0.74032,                0.44604,                 1.1778,                0.96006,                 0.9785,                0.98732,                0.85586,                0.64726,                0.29974,                 1.1645,              0.0073765,              0.0073765,              0.0073765
                     55,                0.73833,                0.43772,                  1.176,                 0.9582,                0.97979,                0.98751,                0.85953,                0.64292,                 0.2973,                  1.161,               0.007327,               0.007327,               0.007327
                     56,                0.73996,                0.43655,                 1.1721,                0.95851,                0.98168,                0.98929,                0.86289,                0.64178,                0.29334,                 1.1587,              0.0072775,              0.0072775,              0.0072775
                     57,                0.73837,                0.43493,                 1.1718,                0.96106,                0.97604,                0.98813,                0.86074,                0.64267,                0.29433,                  1.161,               0.007228,               0.007228,               0.007228
                     58,                0.74361,                0.43399,                 1.1704,                0.96188,                0.97821,                0.98776,                0.85918,                0.64603,                0.29405,                 1.1659,              0.0071785,              0.0071785,              0.0071785
                     59,                0.72941,                0.42808,                 1.1659,                0.96128,                0.97722,                0.98835,                0.86144,                0.64229,                 0.2899,                 1.1609,               0.007129,               0.007129,               0.007129
                     60,                0.72849,                0.42897,                 1.1689,                0.95534,                 0.9807,                 0.9881,                0.86384,                0.64085,                0.29074,                 1.1572,              0.0070795,              0.0070795,              0.0070795
                     61,                0.72833,                0.43088,                 1.1678,                0.96342,                0.97877,                0.98838,                 0.8637,                0.63882,                0.28778,                 1.1566,                0.00703,                0.00703,                0.00703
                     62,                0.72988,                0.43062,                 1.1642,                0.96816,                0.97896,                0.98878,                0.86422,                0.63588,                0.28427,                 1.1528,              0.0069805,              0.0069805,              0.0069805
                     63,                0.73189,                0.43195,                 1.1654,                0.96675,                0.97768,                0.98901,                0.86491,                0.63285,                0.28449,                 1.1504,               0.006931,               0.006931,               0.006931
                     64,                0.73077,                 0.4242,                 1.1693,                0.96136,                0.97918,                0.98857,                0.86572,                0.63332,                0.28322,                 1.1527,              0.0068815,              0.0068815,              0.0068815
                     65,                0.73581,                0.42585,                 1.1721,                0.96529,                0.97751,                0.98822,                0.86445,                0.63676,                0.28468,                 1.1542,               0.006832,               0.006832,               0.006832
                     66,                0.73114,                0.42681,                 1.1647,                0.96349,                0.97866,                0.98713,                0.86403,                0.64077,                0.28363,                  1.156,              0.0067825,              0.0067825,              0.0067825
                     67,                0.73036,                0.42238,                 1.1625,                0.96196,                0.98195,                0.98779,                0.86337,                0.64113,                 0.2812,                 1.1577,               0.006733,               0.006733,               0.006733
                     68,                0.72398,                0.41981,                 1.1605,                0.96815,                0.97776,                0.98819,                0.86413,                0.64123,                0.28305,                 1.1561,              0.0066835,              0.0066835,              0.0066835
                     69,                0.72981,                0.41856,                  1.163,                0.96586,                0.97619,                0.98828,                0.86336,                0.63787,                0.28401,                 1.1552,               0.006634,               0.006634,               0.006634
                     70,                0.71966,                 0.4152,                 1.1623,                0.96618,                0.97817,                0.98879,                0.86415,                0.63655,                0.28322,                 1.1529,              0.0065845,              0.0065845,              0.0065845
                     71,                0.72552,                0.42035,                 1.1634,                0.97081,                0.97555,                 0.9891,                0.86236,                0.63677,                0.28359,                  1.152,               0.006535,               0.006535,               0.006535
                     72,                0.71899,                0.41704,                  1.158,                0.96609,                0.97909,                0.98817,                0.86338,                0.63467,                0.28142,                 1.1509,              0.0064855,              0.0064855,              0.0064855
                     73,                0.71738,                0.40876,                  1.157,                0.96105,                0.98073,                0.98805,                0.86488,                0.63369,                0.27852,                 1.1493,               0.006436,               0.006436,               0.006436
                     74,                0.71174,                0.41038,                 1.1544,                0.96232,                0.97758,                0.98735,                0.86429,                0.63094,                0.27873,                 1.1466,              0.0063865,              0.0063865,              0.0063865
                     75,                0.72117,                0.41161,                   1.16,                0.96074,                0.97763,                0.98762,                0.86455,                0.63109,                0.27774,                 1.1461,               0.006337,               0.006337,               0.006337
                     76,                0.70977,                0.40779,                 1.1534,                0.96332,                0.97974,                0.98838,                0.86575,                0.63039,                0.27652,                  1.146,              0.0062875,              0.0062875,              0.0062875
                     77,                0.71094,                0.40983,                 1.1573,                0.96648,                0.97731,                 0.9888,                 0.8664,                 0.6297,                0.27436,                  1.147,               0.006238,               0.006238,               0.006238
                     78,                0.70676,                0.40125,                 1.1543,                0.96631,                0.97823,                0.98803,                0.86562,                0.63015,                0.27334,                 1.1469,              0.0061885,              0.0061885,              0.0061885
                     79,                0.70793,                0.40395,                 1.1542,                0.96864,                0.97764,                0.98859,                0.86541,                0.63023,                0.27341,                 1.1468,               0.006139,               0.006139,               0.006139
                     80,                0.71161,                0.40221,                 1.1524,                0.96667,                0.98091,                0.98878,                0.86476,                0.63111,                0.27399,                 1.1483,              0.0060895,              0.0060895,              0.0060895
