Vertex1,Vertex2,Type,Date,Text,Link,Likes,Quotes,Retweets,Comments
@BestBuy,https://twitter.com/BestBuy/status/1428734242968772609#m,Posted,"Aug 20, 2021 · 3:02 PM UTC",Name that movie:🚗💨🏁😡,https://twitter.com/BestBuy/status/1428734242968772609#m,114,10,14,126
@BestBuy,https://twitter.com/BestBuy/status/1428401382533459970#m,Posted,"Aug 19, 2021 · 5:00 PM UTC","When you have a REALLY good idea, a wi-fi enabled smart light bulb appears over your head.",https://twitter.com/BestBuy/status/1428401382533459970#m,44,1,8,15
@Di3seL_,https://twitter.com/Di3seL_/status/1425897200710684674#m,Posted,"Aug 12, 2021 · 7:09 PM UTC","After a busy day of streaming I like to dive into something not so high stakes. Load up Flight Simulator, turn the lights low, the surround sound high and get lost in the sky.   What game helps you relax after work or school? #BestBuyPartner @bestbuy https://bit.ly/3hXqeRU",https://twitter.com/Di3seL_/status/1425897200710684674#m,120,0,7,9
@Di3seL_,@originaluser,Retweet,"Aug 12, 2021 · 7:09 PM UTC","After a busy day of streaming I like to dive into something not so high stakes. Load up Flight Simulator, turn the lights low, the surround sound high and get lost in the sky.   What game helps you relax after work or school? #BestBuyPartner @bestbuy https://bit.ly/3hXqeRU",https://twitter.com/Di3seL_/status/1425897200710684674#m,,,,
@BestBuy,https://twitter.com/BestBuy/status/1426196853339480065#m,Posted,"Aug 13, 2021 · 3:00 PM UTC",We know what we're watching today.,https://twitter.com/BestBuy/status/1426196853339480065#m,56,1,7,22
@BestBuy,https://twitter.com/BestBuy/status/1425834470398070792#m,Posted,"Aug 12, 2021 · 3:00 PM UTC","Why can't smart watches have ""scrolling on Twitter"" goals?",https://twitter.com/BestBuy/status/1425834470398070792#m,58,0,5,29
@BestBuy,https://twitter.com/BestBuy/status/1425575300545581058#m,Posted,"Aug 11, 2021 · 9:50 PM UTC",Unfold your world. Check out the new Samsung Galaxy Z Fold3 5G and Samsung Galaxy Z Flip3 5G.,https://twitter.com/BestBuy/status/1425575300545581058#m,51,0,17,13
@BestBuy,https://twitter.com/BestBuy/status/1425094586012110848#m,Posted,"Aug 10, 2021 · 2:00 PM UTC",Print photos worth framing with some help from Agent Schroder. bby.me/cbb9cu,https://twitter.com/BestBuy/status/1425094586012110848#m,25,0,4,10
@BestBuy,https://twitter.com/BestBuy/status/1424415108063666176#m,Posted,"Aug 8, 2021 · 5:00 PM UTC","The summer games are over, and now the cleanup begins.",https://twitter.com/BestBuy/status/1424415108063666176#m,41,0,11,10
@BestBuy,https://twitter.com/BestBuy/status/1423297748439379971#m,Posted,"Aug 5, 2021 · 3:00 PM UTC",Name that game:  🥷🐢⏰,https://twitter.com/BestBuy/status/1423297748439379971#m,101,0,6,72
